year,location,name,school,medal,score,rank,team
1991,,Phan Huy Tú,"THPT chuyên Phan Bội Châu, Nghệ An",HCB,31/42,67,
1991,,Nguyễn Hải Hà,THPT chuyên KHTN ĐHQG HN,HCĐ,27/42,90,
1991,,Ngô Diên Hy,"THPT chuyên Lam Sơn, Thanh Hóa",HCĐ,21/42,133,
1992,"Liên bang Nga, Mát-xcơ-va",Nguyễn Xuân Đào,THPT chuyên KHTN ĐHQG HN,HCV,33/42,17,10/56 (139)
1992,,Nguyễn Thành Công,THPT chuyên KHTN ĐHQG HN,HCB,25/42,65,
1992,,Nguyễn Quốc Khánh,THPT chuyên KHTN ĐHQG HN,HCB,26/42,57,
1992,,Nguyễn Hữu Cường,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,18/42,115,
1992,,Nguyễn Thùy Linh,THPT chuyên KHTN ĐHQG HN,HCĐ,16/42,125,
1992,,Nguyễn Xuân Long,"THPT năng khiếu Trần Phú, Hải Phòng",HCĐ,21/42,93,
1993,"Thổ Nhĩ Kỳ, Istanbul",Nguyễn Chu Gia Vượng,THPT chuyên KHTN ĐHQG HN,HCV,30/42,28,09/73 (138)
1993,,Phạm Hồng Kiên,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,23/42,66,
1993,,Tô Huy Quỳnh,THPT chuyên Thái Bình,HCB,21/42,83,
1993,,Bùi Anh Văn,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,24/42,59,
1993,,Trương Bá Tú,"THPT chuyên Phan Bội Châu, Nghệ An",HCB,23/42,66,
1993,,Phạm Chung Thủy,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,17/42,122,
1994,"Hồng Kông, Hồng Kông",Đào Hải Long,THPT chuyên KHTN ĐHQG HN,HCV,41/42,23,06/69 (207)
1994,,Nguyễn Duy Lân,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,34/42,58,
1994,,Trần Ngọc Nam,THPT chuyên KHTN ĐHQG HN,HCB,38/42,34,
1994,,Nguyễn Quý Tuấn,THPT chuyên KHTN ĐHQG HN,HCB,33/42,67,
1994,,Tô Đông Vũ,THPT chuyên KHTN ĐHQG HN,HCB,30/42,88,
1994,,Nguyễn Chu Gia Vượng,THPT chuyên KHTN ĐHQG HN,HCB,31/42,78,
1995,"Canada, Toronto",Đào Hải Long,THPT chuyên KHTN ĐHQG HN,HCV,40/42,17,04/73 (220)
1995,,Ngô Đắc Tuấn,THPT chuyên KHTN ĐHQG HN,HCV,42/42,1,
1995,,Nguyễn Thế Phương,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,35/42,36,
1995,,Nguyễn Thế Trung,THPT chuyên KHTN ĐHQG HN,HCB,35/42,36,
1995,,Phạm Quang Tuấn,THPT chuyên KHTN ĐHQG HN,HCB,35/42,36,
1995,,Cao Văn Hạnh,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,33/42,61,
1996,"Ấn Độ, Mumbai",Ngô Đắc Tuấn,THPT chuyên KHTN ĐHQG HN,HCV,37/42,4,07/75 (155)
1996,,Nguyễn Thái Hà,THPT chuyên KHTN ĐHQG HN,HCV,31/42,21,
1996,,Ngô Đức Duy,"THPT năng khiếu Trần Phú, Hải Phòng",HCV,33/42,14,
1996,,Phạm Lê Hùng,THPT chuyên KHTN ĐHQG HN,HCB,27/42,36,
1996,,Đỗ Quốc Anh,THPT chuyên KHTN ĐHQG HN,HCĐ,18/42,111,
1996,,Trịnh Thế Huynh,"THPT chuyên Lê Hồng Phong, Nam Định",Không,09/42,227,
1997,"Argentina, Mar del Plata",Đỗ Quốc Anh,THPT chuyên KHTN ĐHQG HN,HCV,42/42,1,10/82 (183)
1997,,Trần Minh Anh,THPT chuyên Hà Nội-Amsterdam,HCB,31/42,56,
1997,,Nguyễn Cảnh Hào,"THPT chuyên Phan Bội Châu, Nghệ An",HCB,25/42,100,
1997,,Phạm Lê Hùng,THPT chuyên KHTN ĐHQG HN,HCB,30/42,60,
1997,,Nguyễn Anh Tú,THPT chuyên KHTN ĐHQG HN,HCB,28/42,79,
1997,,Tô Trần Tùng,"THPT năng khiếu Trần Phú, Hải Phòng",HCB,27/42,86,
1998,"Đài Loan, Đài Bắc",Vũ Việt Anh,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,33/42,21,09/76 (158)
1998,,Đoàn Nhật Dương,THPT chuyên Thái Bình,HCB,24/42,95,
1998,,Đỗ Quang Yên,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,29/42,49,
1998,,Phạm Huy Tùng,THPT chuyên KHTN ĐHQG HN,HCB,26/42,73,
1998,,Lê Thái Hoàng,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,23/42,104,
1998,,Đào Thị Thu Hà,THPT chuyên KHTN ĐHQG HN,HCĐ,23/42,104,
1999,"Rumani, Bucharest",Lê Thái Hoàng,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,38/42,4,03/81 (177)
1999,,Bùi Mạnh Hùng,THPT chuyên KHTN ĐHQG HN,HCV,29/42,33,
1999,,Đỗ Quang Yên,"THPT chuyên Lam Sơn, Thanh Hóa",HCV,36/42,6,
1999,,Trần Văn Nghĩa,"THPT Lê Khiết, Quảng Ngãi",HCB,24/42,56,
1999,,Phạm Trần Quân,THPT chuyên KHTN ĐHQG HN,HCB,27/42,39,
1999,,Nguyễn Trung Tú,THPT chuyên KHTN ĐHQG HN,HCB,23/42,62,
2000,"Hàn Quốc, Daejeon",Nguyễn Minh Hoài,THPT chuyên KHTN ĐHQG HN,HCV,35/42,15,05/82 (169)
2000,,Bùi Viết Lộc,THPT chuyên KHTN ĐHQG HN,HCV,37/42,11,
2000,,Đỗ Đức Nhật Quang,THPT chuyên KHTN ĐHQG HN,HCV,34/42,19,
2000,,Cao Vũ Dân,THPT chuyên KHTN ĐHQG HN,HCB,29/42,40,
2000,,Nguyễn Phi Lê,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,21/42,100,
2000,,Bùi Việt Hà,THPT chuyên Thái Bình,HCĐ,13/42,190,
2001,"Hoa Kỳ, Washington, D.C.",Vũ Ngọc Minh,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,33/42,21,10/83
2001,,Lê Đình Hùng,"THPT chuyên Lam Sơn, Thanh Hóa",HCB,26/42,54,
2001,,Nguyễn Anh Quân,"THPT năng khiếu Trần Phú, Hải Phòng",HCB,22/42,87,
2001,,Trần Khánh Toàn,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,23/42,73,
2001,,Lê Anh Vinh,THPT chuyên KHTN ĐHQG HN,HCB,28/42,46,
2001,,Nguyễn Hoàng Dũng,THPT chuyên Hà Nội-Amsterdam,Bằng khen,07/42,296,
2002,"Scotland, Glasgow",Vũ Ngọc Minh,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,35/42,10,05/84
2002,,Phạm Gia Vĩnh Anh,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,35/42,10,
2002,,Nguyễn Xuân Trường,THPT chuyên Vĩnh Phúc,HCV,29/42,29,
2002,,Phạm Hồng Việt,THPT chuyên KHTN ĐHQG HN,HCB,24/42,86,
2002,,Phạm Thái Khánh Hiệp,"THPT chuyên Đại học Vinh",HCĐ,22/42,113,
2002,,Mai Thanh Hoàng,"THPT chuyên Đại học Vinh",HCĐ,21/42,133,
2003,"Nhật Bản, Tokyo",Lê Hùng Việt Bảo,THPT chuyên KHTN ĐHQG HN,HCV,42/42,1,"04/82 (sau Bulgaria, Trung Quốc và Hoa Kỳ)"
2003,,Nguyễn Trọng Cảnh,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,42/42,1,
2003,,Nguyễn Đăng Khoa,"THPT năng khiếu ĐHQG TP HCM",HCB,26/42,48,
2003,,Nguyễn Đăng Hợp,"THPT chuyên Lê Hồng Phong, Nam Định",HCB,23/42,59,
2003,,Nguyễn Tiến Việt,"THPT chuyên Lê Quý Đôn, Khánh Hoà",HCB,21/42,83,
2003,,Vũ Nhật Huy,THPT chuyên Vĩnh Phúc,HCĐ,18/42,107,
2004,"Hy Lạp, Athena",Phạm Kim Hùng,THPT chuyên KHTN ĐHQG HN,HCV,37/42,12,04/85[26]
2004,,Lê Hùng Việt Bảo,THPT chuyên KHTN ĐHQG HN,HCV,36/42,16,
2004,,Nguyễn Minh Trường,"THPT năng khiếu Trần Phú, Hải Phòng",HCV,35/42,20,
2004,,Nguyễn Kim Sơn,"THPT chuyên ĐH Sư phạm Hà Nội",HCV,35/42,20,
2004,,Nguyễn Đức Thịnh,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,27/42,81,
2004,,Hứa Khắc Nam,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,26/42,93,
2005,"México, Mérida",Phạm Kim Hùng,THPT chuyên KHTN ĐHQG HN,HCB,32/42,47,15/91 (143)
